RUN	perf.TestSimulation	testsimulation	1676394243974	 	3.0.3
REQUEST	12	login	/cgi-bin/login.pl	1676394344860	1676394344951	OK	 
REQUEST	12	login	/cgi-bin/nav.pl	1676394344952	1676394345068	OK	 
REQUEST	12	login	/cgi-bin/login.pl	1676394345069	1676394345193	OK	 
GROUP	12	login	1676394344860	1676394345194	331	OK
REQUEST	12	buyTicket	/cgi-bin/welcome.pl	1676394345194	1676394345279	OK	 
REQUEST	12	buyTicket	/cgi-bin/nav.pl	1676394345279	1676394345371	OK	 
REQUEST	12	buyTicket	/cgi-bin/reservations.pl	1676394345372	1676394345489	OK	 
REQUEST	12	buyTicket	/cgi-bin/reservations.pl	1676394345490	1676394345924	OK	 
REQUEST	12	buyTicket	/cgi-bin/reservations.pl	1676394345925	1676394346066	OK	 
REQUEST	12	buyTicket	/cgi-bin/reservations.pl	1676394346067	1676394346156	OK	 
GROUP	12	buyTicket	1676394345194	1676394346157	958	OK
REQUEST	12	itinerary	/cgi-bin/welcome.pl	1676394346157	1676394346228	OK	 
REQUEST	12	itinerary	/cgi-bin/nav.pl	1676394346228	1676394346317	OK	 
REQUEST	12	itinerary	/cgi-bin/itinerary.pl	1676394346318	1676394346735	OK	 
GROUP	12	itinerary	1676394346157	1676394346738	577	OK
REQUEST	12	signOff	/cgi-bin/welcome.pl	1676394346738	1676394346803	OK	 
REQUEST	12	signOff	/cgi-bin/nav.pl	1676394346804	1676394346896	OK	 
REQUEST	12	signOff	/WebTours/home.html	1676394346896	1676394346944	OK	 
GROUP	12	signOff	1676394346738	1676394346944	205	OK
USER	mainScenario	12	END	1676394344679	1676394346945
USER	mainScenario	13	START	1676394360682	1676394360682
REQUEST	13	open	/webtours/	1676394360683	1676394360711	OK	 
REQUEST	13	open	/cgi-bin/welcome.pl	1676394360711	1676394360774	OK	 
REQUEST	13	open	/cgi-bin/nav.pl	1676394360775	1676394360876	OK	 
GROUP	13	open	1676394360682	1676394360877	192	OK
REQUEST	13	login	/cgi-bin/login.pl	1676394360877	1676394360971	OK	 
REQUEST	13	login	/cgi-bin/nav.pl	1676394360972	1676394361071	OK	 
